doc_id,title,department,year,region,text
D001,"Document Title D001 (sales)",sales,2024,europe,"This is the body text of document D001 in department sales for region europe and year 2024."
D002,"Document Title D002 (sales)",sales,2020,europe,"This is the body text of document D002 in department sales for region europe and year 2020."
D003,"Document Title D003 (legal)",legal,2025,asia_pacific,"This is the body text of document D003 in department legal for region asia_pacific and year 2025."
D004,"Document Title D004 (sales)",sales,2025,latin_america,"This is the body text of document D004 in department sales for region latin_america and year 2025."
D005,"Document Title D005 (hr)",hr,2026,north_america,"This is the body text of document D005 in department hr for region north_america and year 2026."
D006,"Document Title D006 (legal)",legal,2021,latin_america,"This is the body text of document D006 in department legal for region latin_america and year 2021."
D007,"Document Title D007 (legal)",legal,2021,latin_america,"This is the body text of document D007 in department legal for region latin_america and year 2021."
D008,"Document Title D008 (marketing)",marketing,2021,latin_america,"This is the body text of document D008 in department marketing for region latin_america and year 2021."
D009,"Document Title D009 (legal)",legal,2026,latin_america,"This is the body text of document D009 in department legal for region latin_america and year 2026."
D010,"Document Title D010 (finance)",finance,2026,europe,"This is the body text of document D010 in department finance for region europe and year 2026."
D011,"Document Title D011 (legal)",legal,2025,europe,"This is the body text of document D011 in department legal for region europe and year 2025."
D012,"Document Title D012 (legal)",legal,2022,north_america,"This is the body text of document D012 in department legal for region north_america and year 2022."
D013,"Document Title D013 (hr)",hr,2024,latin_america,"This is the body text of document D013 in department hr for region latin_america and year 2024."
D014,"Document Title D014 (engineering)",engineering,2025,asia_pacific,"This is the body text of document D014 in department engineering for region asia_pacific and year 2025."
D015,"Document Title D015 (hr)",hr,2024,latin_america,"This is the body text of document D015 in department hr for region latin_america and year 2024."
D016,"Document Title D016 (legal)",legal,2022,europe,"This is the body text of document D016 in department legal for region europe and year 2022."
D017,"Document Title D017 (finance)",finance,2026,europe,"This is the body text of document D017 in department finance for region europe and year 2026."
D018,"Document Title D018 (hr)",hr,2023,latin_america,"This is the body text of document D018 in department hr for region latin_america and year 2023."
D019,"Document Title D019 (marketing)",marketing,2026,latin_america,"This is the body text of document D019 in department marketing for region latin_america and year 2026."
D020,"Document Title D020 (legal)",legal,2022,asia_pacific,"This is the body text of document D020 in department legal for region asia_pacific and year 2022."
D021,"Document Title D021 (legal)",legal,2022,europe,"This is the body text of document D021 in department legal for region europe and year 2022."
D022,"Document Title D022 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D022 in department engineering for region asia_pacific and year 2022."
D023,"Document Title D023 (engineering)",engineering,2022,latin_america,"This is the body text of document D023 in department engineering for region latin_america and year 2022."
D024,"Document Title D024 (hr)",hr,2022,europe,"This is the body text of document D024 in department hr for region europe and year 2022."
D025,"Document Title D025 (hr)",hr,2023,asia_pacific,"This is the body text of document D025 in department hr for region asia_pacific and year 2023."
D026,"Document Title D026 (marketing)",marketing,2025,north_america,"This is the body text of document D026 in department marketing for region north_america and year 2025."
D027,"Document Title D027 (finance)",finance,2020,asia_pacific,"This is the body text of document D027 in department finance for region asia_pacific and year 2020."
D028,"Document Title D028 (finance)",finance,2023,north_america,"This is the body text of document D028 in department finance for region north_america and year 2023."
D029,"Document Title D029 (sales)",sales,2021,north_america,"This is the body text of document D029 in department sales for region north_america and year 2021."
D030,"Document Title D030 (hr)",hr,2021,europe,"This is the body text of document D030 in department hr for region europe and year 2021."
D031,"Document Title D031 (legal)",legal,2022,asia_pacific,"This is the body text of document D031 in department legal for region asia_pacific and year 2022."
D032,"Document Title D032 (finance)",finance,2022,north_america,"This is the body text of document D032 in department finance for region north_america and year 2022."
D033,"Document Title D033 (marketing)",marketing,2020,north_america,"This is the body text of document D033 in department marketing for region north_america and year 2020."
D034,"Document Title D034 (marketing)",marketing,2025,north_america,"This is the body text of document D034 in department marketing for region north_america and year 2025."
D035,"Document Title D035 (marketing)",marketing,2021,asia_pacific,"This is the body text of document D035 in department marketing for region asia_pacific and year 2021."
D036,"Document Title D036 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D036 in department engineering for region asia_pacific and year 2022."
D037,"Document Title D037 (engineering)",engineering,2020,north_america,"This is the body text of document D037 in department engineering for region north_america and year 2020."
D038,"Document Title D038 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D038 in department engineering for region asia_pacific and year 2022."
D039,"Document Title D039 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D039 in department marketing for region asia_pacific and year 2020."
D040,"Document Title D040 (engineering)",engineering,2020,latin_america,"This is the body text of document D040 in department engineering for region latin_america and year 2020."
D041,"Document Title D041 (legal)",legal,2025,europe,"This is the body text of document D041 in department legal for region europe and year 2025."
D042,"Document Title D042 (hr)",hr,2020,asia_pacific,"This is the body text of document D042 in department hr for region asia_pacific and year 2020."
D043,"Document Title D043 (hr)",hr,2025,north_america,"This is the body text of document D043 in department hr for region north_america and year 2025."
D044,"Document Title D044 (sales)",sales,2022,asia_pacific,"This is the body text of document D044 in department sales for region asia_pacific and year 2022."
D045,"Document Title D045 (engineering)",engineering,2023,latin_america,"This is the body text of document D045 in department engineering for region latin_america and year 2023."
D046,"Document Title D046 (legal)",legal,2024,europe,"This is the body text of document D046 in department legal for region europe and year 2024."
D047,"Document Title D047 (finance)",finance,2026,latin_america,"This is the body text of document D047 in department finance for region latin_america and year 2026."
D048,"Document Title D048 (marketing)",marketing,2021,latin_america,"This is the body text of document D048 in department marketing for region latin_america and year 2021."
D049,"Document Title D049 (sales)",sales,2021,north_america,"This is the body text of document D049 in department sales for region north_america and year 2021."
D050,"Document Title D050 (sales)",sales,2023,europe,"This is the body text of document D050 in department sales for region europe and year 2023."
D051,"Document Title D051 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D051 in department marketing for region asia_pacific and year 2024."
D052,"Document Title D052 (hr)",hr,2024,north_america,"This is the body text of document D052 in department hr for region north_america and year 2024."
D053,"Document Title D053 (hr)",hr,2026,latin_america,"This is the body text of document D053 in department hr for region latin_america and year 2026."
D054,"Document Title D054 (legal)",legal,2021,north_america,"This is the body text of document D054 in department legal for region north_america and year 2021."
D055,"Document Title D055 (hr)",hr,2023,north_america,"This is the body text of document D055 in department hr for region north_america and year 2023."
D056,"Document Title D056 (hr)",hr,2020,latin_america,"This is the body text of document D056 in department hr for region latin_america and year 2020."
D057,"Document Title D057 (sales)",sales,2026,north_america,"This is the body text of document D057 in department sales for region north_america and year 2026."
D058,"Document Title D058 (engineering)",engineering,2025,asia_pacific,"This is the body text of document D058 in department engineering for region asia_pacific and year 2025."
D059,"Document Title D059 (legal)",legal,2025,north_america,"This is the body text of document D059 in department legal for region north_america and year 2025."
D060,"Document Title D060 (legal)",legal,2026,latin_america,"This is the body text of document D060 in department legal for region latin_america and year 2026."
D061,"Document Title D061 (marketing)",marketing,2024,north_america,"This is the body text of document D061 in department marketing for region north_america and year 2024."
D062,"Document Title D062 (marketing)",marketing,2026,europe,"This is the body text of document D062 in department marketing for region europe and year 2026."
D063,"Document Title D063 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D063 in department engineering for region asia_pacific and year 2022."
D064,"Document Title D064 (sales)",sales,2023,asia_pacific,"This is the body text of document D064 in department sales for region asia_pacific and year 2023."
